Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
TS047_RoL_RNA_110_1	TS047_RoL_RNA_110_trimmed_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	28593083.0	2.8 Gbp	0.0	20-101	45.0	29.643541217121864	99.52029494336095	100	pass	pass	warn	pass	fail	warn	pass	warn	fail	pass	pass
TS047_RoL_RNA_110_2	TS047_RoL_RNA_110_trimmed_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	28593083.0	2.8 Gbp	0.0	20-101	45.0	29.469805305719905	99.47314801625274	100	pass	pass	warn	pass	fail	warn	pass	warn	fail	pass	pass
TS047_RoL_RNA_112_1	TS047_RoL_RNA_112_trimmed_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	25340112.0	2.5 Gbp	0.0	20-101	46.0	26.900005780613647	99.50655411467794	100	pass	pass	warn	pass	fail	warn	pass	warn	fail	pass	pass
TS047_RoL_RNA_112_2	TS047_RoL_RNA_112_trimmed_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	25340112.0	2.5 Gbp	0.0	20-101	46.0	27.01010990457695	99.45013021252629	100	pass	pass	fail	pass	fail	warn	pass	warn	fail	pass	pass
TS047_RoL_RNA_114_1	TS047_RoL_RNA_114_trimmed_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	28333701.0	2.8 Gbp	0.0	20-101	46.0	29.407872950560726	99.68177664118076	100	pass	pass	warn	pass	fail	warn	pass	warn	fail	pass	pass
TS047_RoL_RNA_114_2	TS047_RoL_RNA_114_trimmed_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	28333701.0	2.8 Gbp	0.0	20-101	46.0	29.389776493033835	99.63023970994823	100	pass	pass	warn	pass	fail	warn	pass	warn	fail	pass	pass
TS047_RoL_RNA_116_1	TS047_RoL_RNA_116_trimmed_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	29136463.0	2.9 Gbp	0.0	20-101	46.0	27.9078590613908	99.5994034519564	100	pass	pass	fail	pass	fail	warn	pass	warn	fail	pass	pass
TS047_RoL_RNA_116_2	TS047_RoL_RNA_116_trimmed_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	29136463.0	2.9 Gbp	0.0	20-101	46.0	27.93891914262409	99.53651695814966	100	pass	pass	warn	pass	fail	warn	pass	warn	fail	pass	pass
TS047_RoL_RNA_119_1	TS047_RoL_RNA_119_trimmed_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	23800285.0	2.3 Gbp	0.0	20-101	46.0	25.275205778373365	99.57088146213376	100	pass	pass	warn	pass	fail	warn	pass	warn	fail	pass	pass
TS047_RoL_RNA_119_2	TS047_RoL_RNA_119_trimmed_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	23800285.0	2.3 Gbp	0.0	20-101	46.0	25.100265905115126	99.51499381204889	100	pass	pass	warn	pass	fail	warn	pass	warn	fail	pass	pass
TS047_RoL_RNA_136_1	TS047_RoL_RNA_136_trimmed_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	23350017.0	2.3 Gbp	0.0	20-101	46.0	30.035894878709662	99.55238886978113	100	pass	pass	warn	pass	fail	warn	pass	warn	fail	pass	pass
TS047_RoL_RNA_136_2	TS047_RoL_RNA_136_trimmed_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	23350017.0	2.3 Gbp	0.0	20-101	46.0	29.11148293662935	99.4971178179442	100	pass	pass	warn	pass	fail	warn	pass	warn	fail	pass	pass
TS047_RoL_RNA_142_1	TS047_RoL_RNA_142_trimmed_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	26200666.0	2.6 Gbp	0.0	20-101	46.0	29.851859931493756	99.58140655661195	100	pass	pass	warn	pass	fail	warn	pass	warn	fail	pass	pass
TS047_RoL_RNA_142_2	TS047_RoL_RNA_142_trimmed_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	26200666.0	2.6 Gbp	0.0	20-101	46.0	29.499406925570465	99.52644764831551	100	pass	pass	warn	pass	fail	warn	pass	warn	fail	pass	pass
TS047_RoL_RNA_145_1	TS047_RoL_RNA_145_trimmed_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	29006230.0	2.8 Gbp	0.0	20-101	46.0	27.566076770270588	99.56772855348662	100	pass	pass	warn	pass	fail	warn	pass	warn	fail	pass	pass
TS047_RoL_RNA_145_2	TS047_RoL_RNA_145_trimmed_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	29006230.0	2.8 Gbp	0.0	20-101	46.0	27.378272630824284	99.50932379009613	100	pass	pass	warn	pass	fail	warn	pass	warn	fail	pass	pass
TS047_RoL_RNA_146_1	TS047_RoL_RNA_146_trimmed_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	30370720.0	3 Gbp	0.0	20-101	47.0	27.588396471267213	99.60751974269955	100	pass	pass	warn	pass	fail	warn	pass	warn	fail	pass	pass
TS047_RoL_RNA_146_2	TS047_RoL_RNA_146_trimmed_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	30370720.0	3 Gbp	0.0	20-101	47.0	27.419344009576914	99.55460410553323	100	pass	pass	warn	pass	fail	warn	pass	warn	fail	pass	pass
TS047_RoL_RNA_16_1	TS047_RoL_RNA_16_trimmed_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	23690727.0	2.3 Gbp	0.0	20-101	45.0	26.17453287634874	99.44690306464635	100	pass	pass	fail	pass	fail	warn	pass	warn	fail	pass	pass
TS047_RoL_RNA_16_2	TS047_RoL_RNA_16_trimmed_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	23690727.0	2.3 Gbp	0.0	20-101	45.0	26.15360966557732	99.40197898950083	100	pass	pass	fail	pass	fail	warn	pass	warn	fail	pass	pass
TS047_RoL_RNA_170_1	TS047_RoL_RNA_170_trimmed_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	25825403.0	2.5 Gbp	0.0	20-101	46.0	25.452862671305148	99.74018378338569	100	pass	pass	warn	pass	fail	warn	pass	warn	fail	pass	pass
TS047_RoL_RNA_170_2	TS047_RoL_RNA_170_trimmed_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	25825403.0	2.5 Gbp	0.0	20-101	46.0	25.174753459044517	99.68270224089049	100	pass	pass	warn	pass	fail	warn	pass	warn	fail	pass	pass
TS047_RoL_RNA_175_1	TS047_RoL_RNA_175_trimmed_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	25402115.0	2.5 Gbp	0.0	20-101	46.0	27.898185332448318	99.62341661314422	100	pass	pass	warn	pass	fail	warn	pass	warn	fail	pass	pass
TS047_RoL_RNA_175_2	TS047_RoL_RNA_175_trimmed_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	25402115.0	2.5 Gbp	0.0	20-101	46.0	27.690778269779496	99.57545226056965	100	pass	pass	warn	pass	fail	warn	pass	warn	fail	pass	pass
TS047_RoL_RNA_177_1	TS047_RoL_RNA_177_trimmed_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	24104479.0	2.4 Gbp	0.0	20-101	46.0	30.489199687393537	99.64070974112322	100	pass	pass	fail	pass	fail	warn	pass	warn	fail	pass	pass
TS047_RoL_RNA_177_2	TS047_RoL_RNA_177_trimmed_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	24104479.0	2.4 Gbp	0.0	20-101	46.0	30.37025351681799	99.58532194369353	100	pass	pass	fail	pass	fail	warn	pass	warn	fail	pass	pass
TS047_RoL_RNA_200_1	TS047_RoL_RNA_200_trimmed_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	34339109.0	3.4 Gbp	0.0	20-101	46.0	24.202818069560887	99.59855610988625	100	pass	pass	fail	pass	fail	warn	pass	warn	fail	pass	pass
TS047_RoL_RNA_200_2	TS047_RoL_RNA_200_trimmed_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	34339109.0	3.4 Gbp	0.0	20-101	46.0	23.96663225616168	99.54090376951831	100	pass	pass	fail	pass	fail	warn	pass	warn	fail	pass	pass
TS047_RoL_RNA_204_1	TS047_RoL_RNA_204_trimmed_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	23352113.0	2.3 Gbp	0.0	20-101	45.0	26.38596726457754	99.44604398325754	100	pass	pass	fail	pass	fail	warn	pass	warn	fail	pass	pass
TS047_RoL_RNA_204_2	TS047_RoL_RNA_204_trimmed_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	23352113.0	2.3 Gbp	0.0	20-101	45.0	26.070506589428177	99.40503039275289	100	pass	pass	warn	pass	fail	warn	pass	warn	fail	pass	pass
TS047_RoL_RNA_20_1	TS047_RoL_RNA_20_trimmed_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	28413636.0	2.8 Gbp	0.0	20-101	46.0	26.74203541618129	99.49970725323574	100	pass	pass	warn	pass	fail	warn	pass	warn	fail	pass	pass
TS047_RoL_RNA_20_2	TS047_RoL_RNA_20_trimmed_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	28413636.0	2.8 Gbp	0.0	20-101	46.0	26.63830223624114	99.45320451067931	100	pass	pass	warn	pass	fail	warn	pass	warn	fail	pass	pass
TS047_RoL_RNA_229_1	TS047_RoL_RNA_229_trimmed_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	28849949.0	2.8 Gbp	0.0	20-101	47.0	24.242073694734056	99.37740903805411	100	pass	pass	fail	pass	fail	warn	pass	warn	fail	pass	pass
TS047_RoL_RNA_229_2	TS047_RoL_RNA_229_trimmed_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	28849949.0	2.8 Gbp	0.0	20-101	47.0	23.757432851334777	99.31085800186337	100	pass	pass	warn	pass	fail	warn	pass	warn	fail	pass	pass
TS047_RoL_RNA_231_1	TS047_RoL_RNA_231_trimmed_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	20283997.0	2 Gbp	0.0	20-101	45.0	30.129916991796474	99.2974902579605	100	pass	pass	fail	pass	fail	warn	pass	warn	fail	pass	pass
TS047_RoL_RNA_231_2	TS047_RoL_RNA_231_trimmed_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	20283997.0	2 Gbp	0.0	20-101	45.0	29.908957653010926	99.25399794231876	100	pass	pass	fail	pass	fail	warn	pass	warn	fail	pass	pass
TS047_RoL_RNA_258_1	TS047_RoL_RNA_258_trimmed_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	26366305.0	2.6 Gbp	0.0	20-101	45.0	27.22208990831066	99.53291970566221	100	pass	pass	warn	pass	fail	warn	pass	warn	fail	pass	pass
TS047_RoL_RNA_258_2	TS047_RoL_RNA_258_trimmed_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	26366305.0	2.6 Gbp	0.0	20-101	46.0	27.03542585312386	99.48203498745842	100	pass	pass	warn	pass	fail	warn	pass	warn	fail	pass	pass
TS047_RoL_RNA_262_1	TS047_RoL_RNA_262_trimmed_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	28757268.0	2.8 Gbp	0.0	20-101	46.0	25.351886794435835	99.54362577140499	100	pass	pass	warn	pass	fail	warn	pass	warn	fail	pass	pass
TS047_RoL_RNA_262_2	TS047_RoL_RNA_262_trimmed_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	28757268.0	2.8 Gbp	0.0	20-101	46.0	25.116195299108362	99.4938148505623	100	pass	pass	warn	pass	fail	warn	pass	warn	fail	pass	pass
TS047_RoL_RNA_286_1	TS047_RoL_RNA_286_trimmed_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	25158451.0	2.5 Gbp	0.0	20-101	46.0	31.439286125132327	99.67156147649949	100	pass	pass	fail	pass	fail	warn	pass	warn	fail	pass	pass
TS047_RoL_RNA_286_2	TS047_RoL_RNA_286_trimmed_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	25158451.0	2.5 Gbp	0.0	20-101	46.0	31.18018621737354	99.61418656100886	100	pass	pass	fail	pass	fail	warn	pass	warn	fail	pass	pass
TS047_RoL_RNA_288_1	TS047_RoL_RNA_288_trimmed_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	25688193.0	2.5 Gbp	0.0	20-101	46.0	29.915995991659155	99.7112316347047	100	pass	pass	fail	pass	fail	warn	pass	warn	fail	pass	pass
