task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
9	45/b1a066	1104197	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FQ_LINT (TS047_RoL_RNA_46)	COMPLETED	0	2025-05-15 14:32:29.658	5m 39s	3m 17s	35.2%	72 MB	80.1 MB	3.7 GB	1.9 KB
14	05/7f090c	1104198	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FQ_LINT (TS047_RoL_RNA_79)	COMPLETED	0	2025-05-15 14:32:29.706	5m 39s	3m 14s	34.5%	72 MB	80.1 MB	3.6 GB	1.9 KB
28	92/ffc57f	1104200	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FQ_LINT (TS047_RoL_RNA_116)	COMPLETED	0	2025-05-15 14:32:29.778	5m 44s	3m 33s	37.1%	74 MB	80.2 MB	4.3 GB	1.9 KB
26	74/ba83af	1104201	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FQ_LINT (TS047_RoL_RNA_112)	COMPLETED	0	2025-05-15 14:32:29.821	5m 44s	3m 20s	34.7%	74 MB	80.1 MB	3.7 GB	1.9 KB
16	58/92348e	1104202	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FQ_LINT (TS047_RoL_RNA_85)	COMPLETED	0	2025-05-15 14:32:29.857	5m 44s	3m 27s	35.6%	74 MB	80.2 MB	3.9 GB	1.9 KB
37	cd/44f417	1104207	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FQ_LINT (TS047_RoL_RNA_170)	COMPLETED	0	2025-05-15 14:32:30.039	5m 44s	3m 21s	35.2%	72 MB	80.1 MB	3.8 GB	1.9 KB
3	49/acb051	1104212	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FQ_LINT (TS047_RoL_RNA_16)	COMPLETED	0	2025-05-15 14:32:30.211	5m 44s	3m 13s	33.2%	74 MB	80.1 MB	3.5 GB	1.9 KB
35	68/a5e4be	1104195	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FQ_LINT (TS047_RoL_RNA_145)	COMPLETED	0	2025-05-15 14:32:29.535	6m 24s	3m 33s	37.1%	74 MB	80.2 MB	4.3 GB	1.9 KB
29	b2/dec4a0	1104218	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FQ_LINT (TS047_RoL_RNA_119)	COMPLETED	0	2025-05-15 14:32:30.429	8m 18s	1m 58s	50.6%	72 MB	80 MB	3.5 GB	1.9 KB
1	7d/4db59c	1104204	NFCORE_RNASEQ:PREPARE_GENOME:GUNZIP_GTF (GCF_049306965.1_GRCz12tu_genomic.gtf.gz)	COMPLETED	0	2025-05-15 14:32:29.933	9m 18s	21.9s	21.4%	2 MB	7.8 MB	36.2 MB	1.3 GB
