analysis	gene_id	gene_description	taxa_id	correlation	p_value	fdr	abs_correlation	entrez_id	go_terms	kegg_pathways
03_Historical_Contingency_Recovery	LOC100001589	tripartite motif-containing protein 47-like	Runella	-0.503428642404702	0.007992007992007992	0.032694578149123604	0.503428642404702	100001589	NA	NA
03_Historical_Contingency_Recovery	LOC100537840	E3 ubiquitin-protein ligase rnf213-alpha-like	Pirellula	-0.7682982307142328	0.004995004995004995	0.04145854145854146	0.7682982307142328	100537840	NA	NA
03_Historical_Contingency_Recovery	LOC100537840	E3 ubiquitin-protein ligase rnf213-alpha-like	Reyranella	-0.3399844102895699	0.056943056943056944	0.08917497596742881	0.3399844102895699	100537840	NA	NA
03_Historical_Contingency_Recovery	LOC100537840	E3 ubiquitin-protein ligase rnf213-alpha-like	Runella	-0.47562269216013314	0.055944055944055944	0.08917497596742881	0.47562269216013314	100537840	NA	NA
03_Historical_Contingency_Recovery	LOC101882702	golgin subfamily A member 6-like protein 22	Neochlamydia	-0.3904335637909027	0.06393606393606394	0.0962430426716141	0.3904335637909027	101882702	NA	NA
03_Historical_Contingency_Recovery	LOC101882702	golgin subfamily A member 6-like protein 22	Roseomonas	-0.5545162971206851	0.057942057942057944	0.07367632367632368	0.5545162971206851	101882702	NA	NA
03_Historical_Contingency_Recovery	LOC101882847	rho-associated protein kinase 1-like	Pseudoxanthomonas	0.9013806521987199	0.001998001998001998	0.01685814185814186	0.9013806521987199	101882847	NA	NA
03_Historical_Contingency_Recovery	LOC101883008	zinc finger protein 664-like	Culicoidibacter	-0.4240517760838091	0.04695304695304695	0.06675143038779402	0.4240517760838091	101883008	NA	NA
03_Historical_Contingency_Recovery	LOC101883092	interferon-induced very large GTPase 1-like	Pirellula	-0.7092792449199264	0.024975024975024976	0.05758130758130758	0.7092792449199264	101883092	NA	NA
03_Historical_Contingency_Recovery	LOC101883092	interferon-induced very large GTPase 1-like	Runella	-0.5079627184459037	0.02197802197802198	0.05758130758130758	0.5079627184459037	101883092	NA	NA
03_Historical_Contingency_Recovery	LOC103910189	interferon-induced very large GTPase 1-like	Pirellula	-0.6807076152111525	0.023976023976023976	0.05758130758130758	0.6807076152111525	103910189	NA	NA
03_Historical_Contingency_Recovery	LOC103910189	interferon-induced very large GTPase 1-like	Runella	-0.4713795231033266	0.024975024975024976	0.05758130758130758	0.4713795231033266	103910189	NA	NA
03_Historical_Contingency_Recovery	LOC108183350	protein NLRC3-like	Luteolibacter	-0.3691164170027066	0.03496503496503497	0.07029926595143986	0.3691164170027066	108183350	NA	NA
03_Historical_Contingency_Recovery	LOC110438438	serine/threonine-protein kinase 38-like	Pseudoxanthomonas	0.5387735521533277	0.003996003996003996	0.01998001998001998	0.5387735521533277	110438438	NA	NA
03_Historical_Contingency_Recovery	LOC110439307	uncharacterized LOC110439307	Pseudoxanthomonas	-0.6610868731989967	0.08191808191808192	0.09700825490299174	0.6610868731989967	110439307	NA	NA
03_Historical_Contingency_Recovery	LOC137487211	LOC137487211	Culicoidibacter	-0.37814244800654895	0.058941058941058944	0.07367632367632368	0.37814244800654895	NA	NA	NA
03_Historical_Contingency_Recovery	LOC137487211	LOC137487211	Flavobacterium	-0.7311076353020358	0.03896103896103896	0.0620069585586827	0.7311076353020358	NA	NA	NA
03_Historical_Contingency_Recovery	LOC137489722	LOC137489722	Pseudoxanthomonas	0.9788477672844053	0.03996003996003996	0.0620069585586827	0.9788477672844053	NA	NA	NA
03_Historical_Contingency_Recovery	LOC137496053	LOC137496053	Gemmobacter	-0.4629774156270057	0.01098901098901099	0.043432757718472007	0.4629774156270057	NA	NA	NA
03_Historical_Contingency_Recovery	LOC137496184	LOC137496184	Bosea	-0.5222229084293254	0.003996003996003996	0.04145854145854146	0.5222229084293254	NA	NA	NA
03_Historical_Contingency_Recovery	LOC137496184	LOC137496184	Flavobacterium	-0.5883880881549426	0.011988011988011988	0.04522749977295432	0.5883880881549426	NA	NA	NA
03_Historical_Contingency_Recovery	LOC137496184	LOC137496184	Gemmobacter	-0.49321175881491863	0.005994005994005994	0.04145854145854146	0.49321175881491863	NA	NA	NA
03_Historical_Contingency_Recovery	LOC141375138	LOC141375138	Runella	0.8897181386615922	0.005994005994005994	0.04145854145854146	0.8897181386615922	NA	NA	NA
