OTU_ID,Mean_abundance,Observed_frequency,Predicted_frequency,Partition,Kingdom,Phylum,Class,Order,Family,Genus,Species
X275097,0.002713725,1,0.918333469,Above,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,,
X836291,0.000705882,0.8,0.426588799,Above,Bacteria,Proteobacteria,Gammaproteobacteria,Aeromonadales,Aeromonadaceae,,
X839502,0.000392157,0.666666667,0.257903057,Above,Bacteria,Proteobacteria,Gammaproteobacteria,Aeromonadales,Aeromonadaceae,,
X184602,0.000392157,0.6,0.257903057,Above,Bacteria,Proteobacteria,Gammaproteobacteria,Aeromonadales,Aeromonadaceae,,
X791973,0.000392157,0.533333333,0.257903057,Above,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Shewanellaceae,Shewanella,
X354004,0.000266667,0.533333333,0.181052521,Above,Bacteria,Proteobacteria,Gammaproteobacteria,Aeromonadales,,,
X42473,0.00025098,0.466666667,0.171066141,Above,Bacteria,Proteobacteria,Gammaproteobacteria,Aeromonadales,Aeromonadaceae,,
New.0.ReferenceOTU1276,0.000219608,0.466666667,0.150840946,Above,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,
X1127531,0.000219608,0.466666667,0.150840946,Above,Bacteria,Proteobacteria,Gammaproteobacteria,Aeromonadales,Aeromonadaceae,,
X837724,0.000219608,0.466666667,0.150840946,Above,Bacteria,Proteobacteria,Gammaproteobacteria,,,,
New.0.ReferenceOTU38649,0.000219608,0.4,0.150840946,Above,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Rhodobacter,
New.0.ReferenceOTU31102,0.000188235,0.4,0.130280284,Above,Bacteria,Firmicutes,CK-1C4-19,,,,
X99826,0.000188235,0.4,0.130280284,Above,Bacteria,Fusobacteria,Fusobacteria,Fusobacteriales,Fusobacteriaceae,Cetobacterium,
New.0.CleanUp.ReferenceOTU140270,0.00012549,0.4,0.088159841,Above,Bacteria,Fusobacteria,Fusobacteria,Fusobacteriales,Fusobacteriaceae,Cetobacterium,
New.0.CleanUp.ReferenceOTU134240,0.000109804,0.333333333,0.077423285,Above,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Plesiomonas,
New.1.ReferenceOTU6013,0.000109804,0.333333333,0.077423285,Above,Bacteria,Fusobacteria,Fusobacteria,Fusobacteriales,Fusobacteriaceae,Cetobacterium,
X558471,0.000109804,0.333333333,0.077423285,Above,Bacteria,Proteobacteria,Betaproteobacteria,,,,
New.1.CleanUp.ReferenceOTU3519,9.41E-05,0.333333333,0.066604853,Above,Bacteria,Fusobacteria,Fusobacteria,Fusobacteriales,Fusobacteriaceae,Cetobacterium,
X172378,0.077207843,0.333333333,1,Below,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfovibrionales,Desulfovibrionaceae,Lawsonia,
X834870,0.050870588,0.6,1,Below,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,
X147311,0.033333333,0.666666667,1,Below,Bacteria,Tenericutes,Mollicutes,Mycoplasmatales,Mycoplasmataceae,,
X256783,0.030682353,0.733333333,1,Below,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Rhodobacter,
X1113997,0.030243137,0.466666667,1,Below,Bacteria,Firmicutes,Bacilli,Exiguobacterales,Exiguobacteraceae,Exiguobacterium,indicum
X110852,0.02172549,0.533333333,1,Below,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,,
X189039,0.018054902,0.466666667,1,Below,Bacteria,Firmicutes,Bacilli,Exiguobacterales,Exiguobacteraceae,Exiguobacterium,aurantiacum
X836766,0.011576471,0.666666667,0.999999328,Below,Bacteria,Firmicutes,CK-1C4-19,,,,
X30436,0.010823529,0.466666667,0.999997948,Below,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Pseudonocardiaceae,Pseudonocardia,
X247581,0.008627451,0.466666667,0.999951985,Below,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,,
X558848,0.006698039,0.6,0.999338607,Below,Bacteria,Proteobacteria,Betaproteobacteria,Neisseriales,Neisseriaceae,,
X791149,0.006368627,0.733333333,0.998981416,Below,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Shewanellaceae,Shewanella,
X101175,0.005819608,0.666666667,0.997932007,Below,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,,
X591521,0.005380392,0.466666667,0.996395707,Below,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Mycobacteriaceae,Mycobacterium,
New.0.ReferenceOTU37451,0.005333333,0.466666667,0.996176974,Below,Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,,,
X807200,0.004219608,0.266666667,0.985144384,Below,Bacteria,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,Verrucomicrobiaceae,Luteolibacter,
X241651,0.003372549,0.2,0.960441858,Below,Bacteria,Firmicutes,Bacilli,,,,
X136353,0.002603922,0.6,0.908167313,Below,Bacteria,Proteobacteria,Gammaproteobacteria,Aeromonadales,,,
X527854,0.002588235,0.466666667,0.906623204,Below,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Paracoccus,
X574175,0.002572549,0.266666667,0.905055195,Below,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,,
X235419,0.001913725,0.4,0.812834662,Below,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Paracoccus,
X535699,0.001898039,0.466666667,0.809884846,Below,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Rhodobacter,
X833475,0.00172549,0.466666667,0.774589727,Below,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Plesiomonas,shigelloides
X557601,0.001709804,0.4,0.771109453,Below,Bacteria,Planctomycetes,Planctomycetia,Pirellulales,Pirellulaceae,,
X541406,0.001615686,0.466666667,0.74921348,Below,Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,,,
New.0.ReferenceOTU13343,0.001537255,0.4,0.729581455,Below,Bacteria,Planctomycetes,Planctomycetia,Pirellulales,Pirellulaceae,,
X618161,0.001333333,0.4,0.672147471,Below,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Rhodobacter,
X391131,0.001301961,0.2,0.662438256,Below,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Variovorax,paradoxus
X1708706,0.001239216,0.266666667,0.642280029,Below,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Hydrogenophaga,
X831438,0.001176471,0.333333333,0.621106539,Below,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,,
X718894,0.001145098,0.2,0.610128308,Below,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,,
X804828,0.001113725,0.2,0.598883396,Below,Bacteria,Planctomycetes,Planctomycetia,Gemmatales,Isosphaeraceae,,
New.0.CleanUp.ReferenceOTU111739,0.001019608,0.266666667,0.563506521,Below,Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,,,
X812899,0.000815686,0.2,0.477969502,Below,Bacteria,Proteobacteria,Betaproteobacteria,Rhodocyclales,Rhodocyclaceae,Dechloromonas,
X813954,0.000627451,0.133333333,0.387503518,Below,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Devosia,
X690065,0.000376471,0.066666667,0.248592598,Below,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,Porphyromonas,
X204526,0.000329412,0.066666667,0.220154044,Below,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,,
X996434,0.000329412,0.066666667,0.220154044,Below,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,
New.0.ReferenceOTU12376,0.000298039,0.066666667,0.200772239,Below,Bacteria,Firmicutes,Clostridia,,,,
New.0.ReferenceOTU5007,0.000298039,0.066666667,0.200772239,Below,Bacteria,Fusobacteria,Fusobacteria,Fusobacteriales,Fusobacteriaceae,,
X839072,0.153960784,1,1,Neutral,Bacteria,Proteobacteria,Gammaproteobacteria,Aeromonadales,Aeromonadaceae,,
X149034,0.123168627,1,1,Neutral,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Plesiomonas,
X594235,0.091137255,1,1,Neutral,Bacteria,Fusobacteria,Fusobacteria,Fusobacteriales,Fusobacteriaceae,Cetobacterium,
X532598,0.045192157,0.933333333,1,Neutral,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,rhizosphaerae
X284014,0.028721569,0.933333333,1,Neutral,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,,
X250349,0.024172549,1,1,Neutral,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,,
X171460,0.014588235,0.866666667,0.999999993,Neutral,Bacteria,Fusobacteria,Fusobacteria,Fusobacteriales,Fusobacteriaceae,Cetobacterium,
X1130391,0.013537255,0.8,0.999999966,Neutral,Bacteria,Firmicutes,CK-1C4-19,,,,
New.0.ReferenceOTU26938,0.012454902,0.8,0.999999821,Neutral,Bacteria,Firmicutes,Clostridia,,,,
X549666,0.009082353,0.866666667,0.99997467,Neutral,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,,
X203157,0.007011765,0.933333333,0.999563629,Neutral,Bacteria,Proteobacteria,Gammaproteobacteria,Aeromonadales,Aeromonadaceae,,
X245121,0.005662745,0.8,0.997475244,Neutral,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Delftia,
X162394,0.002996078,0.733333333,0.939885128,Neutral,Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,,,
X819261,0.002807843,0.933333333,0.926207606,Neutral,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Stenotrophomonas,
New.0.ReferenceOTU27556,0.002305882,0.666666667,0.874413784,Neutral,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Shewanellaceae,Shewanella,hanedai
X541859,0.001992157,0.866666667,0.826977352,Neutral,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,
X828087,0.001803922,0.733333333,0.791297116,Neutral,Bacteria,Proteobacteria,Gammaproteobacteria,Aeromonadales,,,
New.0.ReferenceOTU11050,0.001788235,0.6,0.788046495,Neutral,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,,,
X814998,0.001411765,0.466666667,0.695376472,Neutral,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,,
X829702,0.00134902,0.666666667,0.676911503,Neutral,Bacteria,Proteobacteria,Gammaproteobacteria,,,,
New.0.ReferenceOTU6763,0.001301961,0.466666667,0.662438256,Neutral,Bacteria,Planctomycetes,Planctomycetia,Gemmatales,Gemmataceae,,
X574749,0.001192157,0.466666667,0.62649698,Neutral,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,,
X349640,0.001113725,0.666666667,0.598883396,Neutral,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,
New.0.ReferenceOTU13444,0.001019608,0.6,0.563506521,Neutral,Bacteria,Fusobacteria,Fusobacteria,Fusobacteriales,Fusobacteriaceae,Cetobacterium,
