analysis	gene_id	gene_description	taxa_id	correlation	p_value	fdr	abs_correlation	entrez_id	go_terms	kegg_pathways
Parasite_Exposure_Response	LOC100006250	annexin A2-A-like	Gemmobacter	-0.5378338966387811	0.005994005994005994	0.04995004995004995	0.5378338966387811	100006250	NA	NA
Parasite_Exposure_Response	LOC100006250	annexin A2-A-like	Paenirhodobacter	-0.4073342965292488	0.001998001998001998	0.03996003996003996	0.4073342965292488	100006250	NA	NA
Parasite_Exposure_Response	LOC101884777	butyrophilin-like protein 2	Vogesella	0.3275980460330888	0.061938061938061936	0.07840261004817967	0.3275980460330888	101884777	NA	NA
Parasite_Exposure_Response	LOC137487483	LOC137487483	Paenirhodobacter	-0.23224236281152896	0.02097902097902098	0.04995004995004995	0.23224236281152896	NA	NA	NA
Parasite_Exposure_Response	aaas	achalasia, adrenocortical insufficiency, alacrimia	Culicoidibacter	-0.5357031525072451	0.03896103896103896	0.05411255411255411	0.5357031525072451	378454	NA	NA
Parasite_Exposure_Response	agr2	anterior gradient 2	Culicoidibacter	-0.35428509789303947	0.03396603396603397	0.05069557308363279	0.35428509789303947	335616	NA	NA
Parasite_Exposure_Response	anxa5b	annexin A5b	Culicoidibacter	-0.37956639307261497	0.012987012987012988	0.04995004995004995	0.37956639307261497	337132	NA	NA
Parasite_Exposure_Response	arf2b	ADP-ribosylation factor 2b	Culicoidibacter	-0.40962836542965797	0.029970029970029972	0.05069557308363279	0.40962836542965797	327026	NA	NA
Parasite_Exposure_Response	armc7	armadillo repeat containing 7	Paenirhodobacter	-0.3574088892838318	0.007992007992007992	0.04995004995004995	0.3574088892838318	767659	NA	NA
Parasite_Exposure_Response	bbc3	BCL2 binding component 3	Culicoidibacter	0.6845605088146289	0.015984015984015984	0.04995004995004995	0.6845605088146289	751763	mitochondrion organization	NA
Parasite_Exposure_Response	cdk10	cyclin dependent kinase 10	Culicoidibacter	-0.5190881445540785	0.024975024975024976	0.04995004995004995	0.5190881445540785	550285	NA	NA
Parasite_Exposure_Response	ciao1	cytosolic iron-sulfur assembly component 1	Culicoidibacter	-0.5083667687496098	0.024975024975024976	0.04995004995004995	0.5083667687496098	795104	NA	NA
Parasite_Exposure_Response	commd9	COMM domain containing 9	Culicoidibacter	-0.5082204685701545	0.012987012987012988	0.04995004995004995	0.5082204685701545	562660	NA	NA
Parasite_Exposure_Response	csf3r	colony stimulating factor 3 receptor	Culicoidibacter	-0.4197245034736444	0.017982017982017984	0.04995004995004995	0.4197245034736444	100134935	NA	NA
Parasite_Exposure_Response	ctbp1l	ctbp1l	Culicoidibacter	-0.4319025762823021	0.025974025974025976	0.04995004995004995	0.4319025762823021	NA	NA	NA
Parasite_Exposure_Response	denr	density-regulated protein	Culicoidibacter	-0.4761097375006351	0.03596403596403597	0.05280433851862423	0.4761097375006351	436970	ribonucleoprotein complex biogenesis; protein-RNA complex assembly; protein-RNA complex organization	NA
Parasite_Exposure_Response	dmap1	DNA methyltransferase 1 associated protein 1	Culicoidibacter	-0.4683723811726665	0.01998001998001998	0.04995004995004995	0.4683723811726665	393225	NA	NA
Parasite_Exposure_Response	fus	FUS RNA binding protein	Culicoidibacter	-0.46645013903596233	0.01998001998001998	0.04995004995004995	0.46645013903596233	394058	NA	NA
Parasite_Exposure_Response	gfpt1	glutamine--fructose-6-phosphate transaminase 1	Culicoidibacter	-0.4486448839465794	0.03996003996003996	0.054739780767178024	0.4486448839465794	567861	fructose 6-phosphate metabolic process	NA
Parasite_Exposure_Response	gng10	guanine nucleotide binding protein (G protein), gamma 10	Paenirhodobacter	-0.45888231708000665	0.001998001998001998	0.03996003996003996	0.45888231708000665	796780	NA	NA
Parasite_Exposure_Response	gng10	guanine nucleotide binding protein (G protein), gamma 10	Paucibacter	-0.6839020682066028	9.99000999000999e-4	0.033300033300033303	0.6839020682066028	796780	NA	NA
Parasite_Exposure_Response	gtdc1	glycosyltransferase-like domain containing 1	Culicoidibacter	-0.5402748074204275	0.04295704295704296	0.05805005805005805	0.5402748074204275	550132	NA	NA
Parasite_Exposure_Response	h2ax	H2A.X variant histone	Culicoidibacter	-0.42793795059495227	0.04595404595404595	0.061272061272061265	0.42793795059495227	394048	NA	NA
Parasite_Exposure_Response	h3f3a	H3 histone, family 3A	Culicoidibacter	-0.41700983713068634	0.005994005994005994	0.04995004995004995	0.41700983713068634	406269	NA	NA
Parasite_Exposure_Response	haus6	HAUS augmin-like complex, subunit 6	Culicoidibacter	-0.49971549526959275	0.00999000999000999	0.04995004995004995	0.49971549526959275	558814	NA	NA
Parasite_Exposure_Response	hephl1b	hephaestin-like 1b	Paenirhodobacter	-0.38826078862942415	0.014985014985014986	0.04995004995004995	0.38826078862942415	101886332	NA	NA
Parasite_Exposure_Response	hephl1b	hephaestin-like 1b	Paucibacter	-0.5217981200587007	0.003996003996003996	0.0444000444000444	0.5217981200587007	101886332	NA	NA
Parasite_Exposure_Response	idh2	isocitrate dehydrogenase (NADP(+)) 2	Culicoidibacter	-0.5593401028730913	0.013986013986013986	0.04995004995004995	0.5593401028730913	386951	NA	NA
Parasite_Exposure_Response	igbp1	immunoglobulin (CD79A) binding protein 1	Culicoidibacter	-0.46070422352482915	0.01098901098901099	0.04995004995004995	0.46070422352482915	406843	NA	NA
Parasite_Exposure_Response	imp4	IMP U3 small nucleolar ribonucleoprotein 4	Culicoidibacter	-0.43749527667742383	0.025974025974025976	0.04995004995004995	0.43749527667742383	436992	ribonucleoprotein complex biogenesis	NA
Parasite_Exposure_Response	ing5b	inhibitor of growth family, member 5b	Culicoidibacter	-0.5511251095443129	0.02097902097902098	0.04995004995004995	0.5511251095443129	368450	NA	NA
Parasite_Exposure_Response	lonp1	lon peptidase 1, mitochondrial	Culicoidibacter	-0.4498672327959468	0.013986013986013986	0.04995004995004995	0.4498672327959468	563257	modification-dependent protein catabolic process; modification-dependent macromolecule catabolic process; mitochondrion organization	NA
Parasite_Exposure_Response	mcts1	MCTS1 re-initiation and release factor	Culicoidibacter	-0.4270611587531411	0.04995004995004995	0.06487019474032461	0.4270611587531411	394046	ribonucleoprotein complex biogenesis; protein-RNA complex assembly; protein-RNA complex organization	NA
Parasite_Exposure_Response	mmp25b	matrix metallopeptidase 25b	Culicoidibacter	-0.4273322183890815	0.030969030969030968	0.05069557308363279	0.4273322183890815	100333601	NA	NA
Parasite_Exposure_Response	mrpl33	mitochondrial ribosomal protein L33	Culicoidibacter	-0.4102453827829544	0.024975024975024976	0.04995004995004995	0.4102453827829544	100536515	NA	NA
Parasite_Exposure_Response	msraa	methionine sulfoxide reductase Aa	Polymorphobacter	-0.34413224146332594	0.015984015984015984	0.04995004995004995	0.34413224146332594	793910	NA	NA
Parasite_Exposure_Response	mtrex	Mtr4 exosome RNA helicase	Culicoidibacter	-0.5556597469567945	0.023976023976023976	0.04995004995004995	0.5556597469567945	406795	ribonucleoprotein complex biogenesis	NA
Parasite_Exposure_Response	mtus1b	microtubule associated tumor suppressor 1b	Culicoidibacter	0.7593792416480625	0.03696303696303696	0.05280433851862423	0.7593792416480625	557250	NA	NA
Parasite_Exposure_Response	ncbp1	nuclear cap binding protein subunit 1	Culicoidibacter	-0.5159937567792909	0.022977022977022976	0.04995004995004995	0.5159937567792909	101885456	NA	NA
Parasite_Exposure_Response	nom1	nucleolar protein with MIF4G domain 1	Culicoidibacter	-0.4298544193871105	0.02097902097902098	0.04995004995004995	0.4298544193871105	557585	ribonucleoprotein complex biogenesis	NA
Parasite_Exposure_Response	nrbp2b	nuclear receptor binding protein 2b	Culicoidibacter	0.5853523705152054	0.06993006993006994	0.08741258741258742	0.5853523705152054	562626	NA	NA
Parasite_Exposure_Response	nsfl1c	NSFL1 (p97) cofactor (p47)	Culicoidibacter	-0.4905032441752409	0.013986013986013986	0.04995004995004995	0.4905032441752409	492805	modification-dependent protein catabolic process; modification-dependent macromolecule catabolic process; ubiquitin-dependent protein catabolic process; proteasome-mediated ubiquitin-dependent protein catabolic process; proteasomal protein catabolic process	NA
Parasite_Exposure_Response	p2rx4b	purinergic receptor P2X, ligand-gated ion channel, 4b	Gemmobacter	-0.3085373524766261	0.030969030969030968	0.05069557308363279	0.3085373524766261	387301	NA	NA
Parasite_Exposure_Response	pdk2a	pyruvate dehydrogenase kinase 2a	Paucibacter	0.6744554384571425	0.02197802197802198	0.04995004995004995	0.6744554384571425	794083	NA	NA
Parasite_Exposure_Response	pfkpa	phosphofructokinase, platelet a	Culicoidibacter	-0.4331598675260784	0.03896103896103896	0.05411255411255411	0.4331598675260784	560944	fructose 6-phosphate metabolic process	NA
Parasite_Exposure_Response	pigf	phosphatidylinositol glycan anchor biosynthesis, class F	Culicoidibacter	-0.46702665937677557	0.03296703296703297	0.05069557308363279	0.46702665937677557	402942	NA	NA
Parasite_Exposure_Response	ppp1r11	protein phosphatase 1, regulatory (inhibitor) subunit 11	Culicoidibacter	-0.45749977634379546	0.017982017982017984	0.04995004995004995	0.45749977634379546	550290	modification-dependent protein catabolic process; modification-dependent macromolecule catabolic process; ubiquitin-dependent protein catabolic process	NA
Parasite_Exposure_Response	prpf31	PRP31 pre-mRNA processing factor 31 homolog (yeast)	Culicoidibacter	-0.5418384666101068	0.014985014985014986	0.04995004995004995	0.5418384666101068	393476	ribonucleoprotein complex biogenesis; protein-RNA complex assembly; protein-RNA complex organization	NA
Parasite_Exposure_Response	prps1b	phosphoribosyl pyrophosphate synthetase 1B	Culicoidibacter	-0.499273771543686	0.03296703296703297	0.05069557308363279	0.499273771543686	560827	NA	NA
Parasite_Exposure_Response	psmc4	proteasome 26S subunit, ATPase 4	Culicoidibacter	-0.4912171990760703	0.027972027972027972	0.05069557308363279	0.4912171990760703	326884	modification-dependent protein catabolic process; modification-dependent macromolecule catabolic process; ubiquitin-dependent protein catabolic process; proteasome-mediated ubiquitin-dependent protein catabolic process; proteasomal protein catabolic process	NA
Parasite_Exposure_Response	psmd1	proteasome 26S subunit, non-ATPase 1	Culicoidibacter	-0.4655636432603068	0.022977022977022976	0.04995004995004995	0.4655636432603068	554967	modification-dependent protein catabolic process; modification-dependent macromolecule catabolic process; ubiquitin-dependent protein catabolic process; proteasome-mediated ubiquitin-dependent protein catabolic process; proteasomal protein catabolic process	NA
Parasite_Exposure_Response	psmd2	proteasome 26S subunit ubiquitin receptor, non-ATPase 2	Culicoidibacter	-0.46316128152447084	0.014985014985014986	0.04995004995004995	0.46316128152447084	393518	NA	NA
Parasite_Exposure_Response	psmd3	proteasome 26S subunit, non-ATPase 3	Culicoidibacter	-0.44112772511079484	0.029970029970029972	0.05069557308363279	0.44112772511079484	393544	modification-dependent protein catabolic process; modification-dependent macromolecule catabolic process; ubiquitin-dependent protein catabolic process	NA
Parasite_Exposure_Response	psmd4a	proteasome 26S subunit ubiquitin receptor, non-ATPase 4a	Culicoidibacter	-0.467138718873387	0.012987012987012988	0.04995004995004995	0.467138718873387	415202	modification-dependent protein catabolic process; modification-dependent macromolecule catabolic process; ubiquitin-dependent protein catabolic process; proteasome-mediated ubiquitin-dependent protein catabolic process; proteasomal protein catabolic process	NA
Parasite_Exposure_Response	psmd6	proteasome 26S subunit, non-ATPase 6	Culicoidibacter	-0.4669821278524652	0.013986013986013986	0.04995004995004995	0.4669821278524652	393261	modification-dependent protein catabolic process; modification-dependent macromolecule catabolic process; ubiquitin-dependent protein catabolic process; proteasome-mediated ubiquitin-dependent protein catabolic process; proteasomal protein catabolic process	NA
Parasite_Exposure_Response	pvalb7	parvalbumin 7	Gemmobacter	-0.22869301883573775	0.028971028971028972	0.05069557308363279	0.22869301883573775	402807	NA	NA
