Description	p.adjust	Count	log_padj	mean_log2FC	n_up	n_down	gene_list	fc_list
cellular response to estrogen stimulus	2.6700322208436724e-12	7	11.573483497717756	-9.231406222794744	0	7		
response to estrogen	2.6700322208436724e-12	7	11.573483497717756	-9.231406222794744	0	7		
response to estradiol	9.655694185001134e-12	6	11.015216497661092	-9.26957581698077	0	6		
response to lipid	2.804082883071041e-7	7	6.552209153641038	-8.304472359180746	0	7		
cellular response to hormone stimulus	4.2059999678697464e-7	7	6.3761307349673375	-9.231406222794744	0	7		
lipid transport	1.43378094119268e-6	7	5.843517196854058	-8.83749625457486	0	7		
response to hormone	1.43378094119268e-6	7	5.843517196854058	-9.231406222794744	0	7		
response to organic cyclic compound	1.5414302307133726e-6	6	5.812076127831354	-9.26957581698077	0	6		
lipid localization	1.6708555756601267e-6	7	5.777061087751476	-8.83749625457486	0	7		
response to oxygen-containing compound	3.2011144035942525e-5	7	4.494698804468224	-8.304472359180746	0	7		
endoplasmic reticulum tubular network organization	0.0021260726647528622	2	2.67242189627467	-3.0647065023130624	0	2		
endoplasmic reticulum organization	0.04212745822619963	2	1.375434743380546	-3.0647065023130624	0	2		
phagocytosis	0.06236422097736479	2	1.2050644982756877	-3.6918315593272917	1	1		
