Description	p.adjust	Count	log_padj	mean_log2FC	n_up	n_down	gene_list	fc_list
2'-deoxyribonucleotide metabolic process	0.002123126789906463	7	2.673024069652875	1.0428978514090135	5	2		
DNA biosynthetic process	0.005813699620603602	14	2.235547410901396	2.1686214079356696	14	0		
DNA conformation change	4.39807247806367e-4	14	3.3567376179575503	2.155057675441897	13	1		
DNA damage checkpoint signaling	1.278552902735818e-6	20	5.893281297445303	2.1688893183207503	20	0		
DNA damage response	4.066724367620552e-31	151	30.390755261988826	1.9298329496935458	144	7		
DNA duplex unwinding	2.3088384646223812e-4	12	3.636606450962077	2.4269439178405006	12	0		
DNA geometric change	2.3088384646223812e-4	12	3.636606450962077	2.4269439178405006	12	0		
DNA integrity checkpoint signaling	5.272747124473647e-8	23	7.2779630564855555	2.231053135842201	23	0		
DNA recombination	1.0087867765226596e-16	66	15.996200619259003	2.2473201401004808	66	0		
DNA repair	7.666696378146896e-32	129	31.11539173563595	2.004514329560703	125	4		
DNA replication	3.1826695963318822e-37	85	36.49720844461425	2.1476960315894695	84	1		
DNA replication checkpoint signaling	4.430395385823316e-4	8	3.353557513908115	2.081189926031924	8	0		
DNA replication initiation	7.65532928933143e-13	20	12.116036123651046	2.350856761533716	20	0		
DNA strand elongation	8.107011648313528e-7	12	6.091139202979436	2.160097225622498	12	0		
DNA strand elongation involved in DNA replication	1.3369834817218666e-06	11	5.873873958363565	2.2560638606617056	11	0		
DNA-templated DNA replication	8.440101870412998e-32	60	31.073652311491497	2.1361818708324747	60	0		
DNA-templated DNA replication maintenance of fidelity	6.66737576184912e-8	16	7.17604506809344	2.123785755779905	16	0		
G2/M transition of mitotic cell cycle	6.505693594894032e-6	18	5.1867063949706065	2.6050795924584365	18	0		
RNA 5'-end processing	0.08506337979729274	6	1.0702573655891547	0.5308712415463377	5	1		
RNA export from nucleus	0.06658880496794738	13	1.176598779077769	1.74494537063373	13	0		
RNA localization	0.04071231884253351	20	1.390274160901448	1.8602144102751674	20	0		
RNA transport	0.012315121467262196	20	1.9095613002437537	1.8602144102751674	20	0		
RNA-templated DNA biosynthetic process	0.08506337979729274	6	1.0702573655891547	1.683768792407787	6	0		
T cell activation	0.04883397673728452	29	1.3112779080170116	0.5084421550597836	20	9		
activation of immune response	0.06022462779073612	25	1.2202258754131214	0.21733822772793135	15	10		
alcohol catabolic process	0.030155841632707032	7	1.5206285461073137	-1.3466518352065222	1	6		
alcohol metabolic process	0.05934521235262083	33	1.2266143118013366	-0.9243955687443988	6	27		
anaphase-promoting complex-dependent catabolic process	0.08506337979729274	6	1.0702573655891547	1.6658301736394157	6	0		
apoptotic signaling pathway	0.08378955162916278	31	1.0768101335499907	-0.6532727062657815	11	20		
attachment of spindle microtubules to kinetochore	0.0034986825608844894	8	2.456095459720638	2.076762434694985	7	1		
base-excision repair	0.08506337979729274	8	1.0702573655891547	1.9594665332320595	8	0		
carbohydrate derivative catabolic process	0.008771231674175674	27	2.056939417838097	-0.40028432353957727	7	20		
carboxylic acid biosynthetic process	0.022591782113406376	36	1.6460495091641263	-0.9107868696044195	10	26		
carboxylic acid transport	0.017071390502553158	38	1.7677311031974368	-1.0067535453092884	9	29		
cell cycle DNA replication	5.519131324801088e-9	15	8.258129272005057	2.314278564850497	15	0		
cell cycle G2/M phase transition	3.43517352726472e-5	18	4.4640513197310545	2.6050795924584365	18	0		
cell cycle checkpoint signaling	9.228294543947265e-12	35	11.034878552342368	2.4500210508777434	35	0		
cell cycle phase transition	1.7507657241563976e-16	68	15.756771964432383	2.265555496009662	65	3		
cell division	2.2109999472871902e-11	86	10.65541126777537	2.528725187610542	83	3		
cellular lipid catabolic process	0.011082130947694453	31	1.9553767224737935	-0.8128235149342757	4	27		
cellular process involved in reproduction in multicellular organism	0.033085727429807775	29	1.4803593124249939	3.201761057240722	24	5		
cellular response to chemokine	0.01801070729864476	14	1.7444692316631516	1.2578075780054812	10	4		
cellular response to estrogen stimulus	0.04883397673728452	10	1.3112779080170116	-1.6613472105298728	0	10		
cellular response to interleukin-1	0.08560232208236476	10	1.0675144543195831	1.319491172715482	7	3		
cellular response to type II interferon	0.003742993801071497	13	2.426780892138229	1.1105379472880645	9	4		
cellular response to xenobiotic stimulus	8.82318334078185e-7	29	6.054374696284706	-1.9470435519952525	0	29		
centriole assembly	2.3088384646223812e-4	12	3.636606450962077	1.9150211653699418	11	1		
centriole replication	0.0030128491422466235	10	2.52102261354074	1.8402991621651883	9	1		
centromere complex assembly	1.4319069400635212e-9	15	8.844085206001749	2.385165976724762	15	0		
centrosome cycle	1.3114607250110707e-4	21	3.8822447109191267	2.2410688720491216	20	1		
centrosome duplication	0.04075885793018467	11	1.389777993497005	1.9580260371965246	10	1		
chemokine-mediated signaling pathway	0.03335374281570585	13	1.4768554243260845	1.2169355107504773	9	4		
cholesterol efflux	0.07766569479522144	7	1.109770768213557	-1.5733662532562558	1	6		
cholesterol homeostasis	0.08560232208236476	9	1.0675144543195831	-1.5640875284385087	1	8		
cholesterol metabolic process	0.04883397673728452	16	1.3112779080170116	-0.8709246607533914	3	13		
chromatin organization	0.0011546198553643659	66	2.9375609784491696	1.6777523820298808	61	5		
chromatin remodeling	0.00847092905099925	43	2.072068955714677	1.7036663377039067	39	4		
chromosome condensation	0.015105342711914042	11	1.8208694169511304	2.8061054438671804	11	0		
chromosome localization	1.9456991446868677e-4	14	3.7109243120139737	2.7059039466656047	13	1		
chromosome organization	2.3661373847653e-28	103	27.625960042584985	2.3069513255748544	100	3		
chromosome segregation	7.816889830450861e-33	92	32.10696600885194	2.423010516005017	88	4		
chromosome separation	1.8533404384949446e-5	14	4.732044798177228	2.623443190570557	14	0		
copper ion transport	0.08585439689750757	5	1.066237458226688	-0.5661311312846432	1	4		
cytosolic pattern recognition receptor signaling pathway	0.0965004569884744	7	1.0154706300022924	-0.4566379652264998	2	5		
defense response	0.007531752987260657	87	2.123103931622548	0.49821150478767734	51	36		
defense response to other organism	2.224125168840603e-5	78	4.652840775270233	0.580762402000231	48	30		
defense response to symbiont	1.2667514276683088e-4	26	3.8973085975736095	-0.016538992841470465	13	13		
defense response to virus	1.2667514276683088e-4	26	3.8973085975736095	-0.016538992841470465	13	13		
deoxyribonucleotide metabolic process	0.0034986825608844894	8	2.456095459720638	1.2031677250548825	6	2		
deoxyribose phosphate metabolic process	0.004297408933546478	7	2.366793317683911	1.0428978514090135	5	2		
developmental process involved in reproduction	0.09783897678666352	34	1.0094880978588263	2.9167060078862783	29	5		
double-strand break repair	9.728195528249773e-15	58	14.011967709043118	2.1620893366097644	58	0		
double-strand break repair via break-induced replication	4.014272648391802e-7	11	6.396393133674445	2.4369747220603513	11	0		
double-strand break repair via homologous recombination	1.2881280031657817e-15	44	14.890040978353232	2.2798534945785716	44	0		
epigenetic regulation of gene expression	0.04453647413040382	15	1.351284168225233	2.036772650421216	15	0		
establishment of RNA localization	0.012315121467262196	20	1.9095613002437537	1.8602144102751674	20	0		
establishment of chromosome localization	1.3077992556156744e-4	14	3.8834589141686187	2.7059039466656047	13	1		
establishment of organelle localization	0.04043658638958688	39	1.393225514177476	1.5360292553800527	30	9		
establishment of protein localization to mitochondrial membrane	0.06263731965613423	6	1.2031668346579043	1.206088551670086	6	0		
