Description	p.adjust	Count	log_padj	mean_log2FC	n_up	n_down	gene_list	fc_list
2'-deoxyribonucleotide metabolic process	0.003345946170210515	6	2.475481050273979	1.3421015330119395	5	1		
DNA biosynthetic process	4.55873269438777e-5	15	4.341155872320041	1.9865694770294808	15	0		
DNA conformation change	3.108009962124743e-7	16	6.507517597821938	1.9483791817783207	15	1		
DNA damage checkpoint signaling	6.25260207582277e-5	15	4.203939209536731	2.178979310623698	15	0		
DNA damage response	6.394580010424908e-28	122	27.194187974272847	1.9008755833443065	119	3		
DNA duplex unwinding	1.2397569479699845e-7	14	6.906663449113425	2.195668780436603	14	0		
DNA geometric change	1.2397569479699845e-7	14	6.906663449113425	2.195668780436603	14	0		
DNA integrity checkpoint signaling	2.0317483789593244e-6	18	5.692130078079033	2.1887273274166783	18	0		
DNA recombination	1.3421853239245398e-18	59	17.87218751427061	1.9895526003813475	59	0		
DNA repair	6.041391321743347e-28	104	27.218863032608628	1.9644999004087185	103	1		
DNA replication	1.7949401374912012e-44	82	43.74595003086882	1.9626667112243794	80	2		
DNA replication checkpoint signaling	6.147342880396234e-4	7	3.2113125625565373	1.7882630530927068	7	0		
DNA replication initiation	4.3687869921040184e-17	21	16.359639129565778	2.2051571557296032	21	0		
DNA strand elongation	1.0448392570452772e-9	13	8.980950518306896	2.2387920213610104	13	0		
DNA strand elongation involved in DNA replication	1.9737508421902206e-9	12	8.704707671672193	2.3363460346745466	12	0		
DNA synthesis involved in DNA repair	0.038778120342599316	6	1.411413245917993	2.5156339465808824	6	0		
DNA-templated DNA replication	3.6147114317162305e-34	56	33.4419263674194	2.019820279470999	56	0		
DNA-templated DNA replication maintenance of fidelity	1.0080507008304975e-5	12	4.99651762410362	2.1034969662296104	12	0		
G1/S transition of mitotic cell cycle	0.09879332953867945	10	1.0052723777032724	1.1708938675887706	9	1		
G2/M transition of mitotic cell cycle	2.9491097124425306e-6	16	5.530309070573978	2.4593370770865506	16	0		
RNA-templated DNA biosynthetic process	0.020176704611800822	6	1.695149764054415	1.5332084299712891	6	0		
T cell activation	0.046474980433949764	23	1.3327807843947823	0.24811444579889796	16	7		
acrosome reaction	0.020176704611800822	6	1.695149764054415	4.608921617436293	6	0		
alcohol catabolic process	0.028634319584469325	6	1.5431131322370926	-0.9615927975222427	1	5		
alcohol metabolic process	0.01662457362227505	28	1.7792494844229176	-0.8003690091452597	5	23		
anaphase-promoting complex-dependent catabolic process	0.020176704611800822	6	1.695149764054415	1.4146875730616069	6	0		
antigen processing and presentation	0.05515350260476646	8	1.2584269018344973	0.4516588181759724	7	1		
apoptotic signaling pathway	0.05638736007011373	25	1.2488182376304844	-0.6990126513492323	9	16		
attachment of spindle microtubules to kinetochore	0.003345946170210515	7	2.475481050273979	1.9385219841731753	6	1		
base-excision repair	0.05515350260476646	7	1.2584269018344973	1.848829483573495	7	0		
carboxylic acid biosynthetic process	0.09511794803828207	26	1.0217375272420086	-1.4259368571604873	3	23		
carboxylic acid transport	4.840769497650229e-4	35	3.3150855966158543	-0.742442736407386	9	26		
cell chemotaxis	0.03350261683977366	23	1.4749212695396259	1.4664192985207465	18	5		
cell cycle DNA replication	2.1049929457169375e-12	16	11.676749355239876	2.2554322965808584	16	0		
cell cycle G2/M phase transition	1.2107016071723863e-5	16	4.916962881073923	2.4593370770865506	16	0		
cell cycle checkpoint signaling	1.442003449787643e-10	29	9.841033700627724	2.2516158960029924	29	0		
cell cycle phase transition	7.061546606791527e-16	57	15.151100170161438	2.14394901050265	55	2		
cell division	8.805050518821015e-14	76	13.055268147932678	2.328815525292541	74	2		
cellular modified amino acid biosynthetic process	0.08614349776356875	7	1.0647774981576235	-1.2437594639071154	1	6		
cellular process involved in reproduction in multicellular organism	0.06326641013041462	22	1.19882680762688	2.5101680154265584	17	5		
cellular response to chemokine	0.003345946170210515	13	2.475481050273979	1.6136630780176482	10	3		
cellular response to cytokine stimulus	0.005965216484247715	30	2.2243737906846412	0.822169124899069	20	10		
cellular response to interleukin-1	0.010940415661506008	10	1.960966177447826	1.9208276937367832	8	2		
cellular response to tumor necrosis factor	0.02366510739505236	11	1.6258915203118633	1.8596576705853483	9	2		
cellular response to type II interferon	8.328125840294691e-4	12	3.079452721137688	1.6323606413375145	9	3		
cellular response to xenobiotic stimulus	0.0010884415937114894	19	2.9631948704440716	-1.7110171521436583	0	19		
centriole assembly	5.49931405583442e-4	10	3.259691477841079	1.58018880852267	9	1		
centriole replication	0.008129477461003435	8	2.0899373686858844	1.4739976712841505	7	1		
