Description	p.adjust	Count	log_padj	mean_log2FC	n_up	n_down	gene_list	fc_list
cellular response to chemokine	0.016018268991534412	2	1.7953844175927929	-2.9062545589949393	0	2		
chemokine-mediated signaling pathway	0.016018268991534412	2	1.7953844175927929	-2.9062545589949393	0	2		
response to chemokine	0.016018268991534412	2	1.7953844175927929	-2.9062545589949393	0	2		
granulocyte chemotaxis	0.029785288714561063	2	1.5259981858443705	-2.9062545589949393	0	2		
neutrophil chemotaxis	0.029785288714561063	2	1.5259981858443705	-2.9062545589949393	0	2		
granulocyte migration	0.029991435186794407	2	1.5230027513531181	-2.9062545589949393	0	2		
leukocyte chemotaxis	0.029991435186794407	2	1.5230027513531181	-2.9062545589949393	0	2		
neutrophil migration	0.029991435186794407	2	1.5230027513531181	-2.9062545589949393	0	2		
L-phenylalanine catabolic process	0.03561423195812067	1	1.448376417034608	-4.870962604584245	0	1		
L-phenylalanine metabolic process	0.03561423195812067	1	1.448376417034608	-4.870962604584245	0	1		
alpha-amino acid metabolic process	0.03561423195812067	2	1.448376417034608	-1.0703446870535984	1	1		
amino acid metabolic process	0.03561423195812067	2	1.448376417034608	-1.0703446870535984	1	1		
antimicrobial humoral immune response mediated by antimicrobial peptide	0.03561423195812067	1	1.448376417034608	-2.340067418254223	0	1		
arachidonate transport	0.03561423195812067	1	1.448376417034608	-4.772208555468202	0	1		
arachidonic acid secretion	0.03561423195812067	1	1.448376417034608	-4.772208555468202	0	1		
carboxylic acid transport	0.03561423195812067	2	1.448376417034608	-3.378244421760761	0	2		
cell chemotaxis	0.03561423195812067	2	1.448376417034608	-2.9062545589949393	0	2		
cellular response to cytokine stimulus	0.03561423195812067	2	1.448376417034608	-2.9062545589949393	0	2		
chemotaxis	0.03561423195812067	2	1.448376417034608	-2.9062545589949393	0	2		
cytokine-mediated signaling pathway	0.03561423195812067	2	1.448376417034608	-2.9062545589949393	0	2		
endothelial to hematopoietic transition	0.03561423195812067	1	1.448376417034608	-2.7538444785248077	0	1		
erythrose 4-phosphate/phosphoenolpyruvate family amino acid catabolic process	0.03561423195812067	1	1.448376417034608	-4.870962604584245	0	1		
erythrose 4-phosphate/phosphoenolpyruvate family amino acid metabolic process	0.03561423195812067	1	1.448376417034608	-4.870962604584245	0	1		
icosanoid secretion	0.03561423195812067	1	1.448376417034608	-4.772208555468202	0	1		
icosanoid transport	0.03561423195812067	1	1.448376417034608	-4.772208555468202	0	1		
inflammatory response	0.03561423195812067	2	1.448376417034608	-2.9062545589949393	0	2		
leukocyte migration	0.03561423195812067	2	1.448376417034608	-2.9062545589949393	0	2		
myeloid leukocyte migration	0.03561423195812067	2	1.448376417034608	-2.9062545589949393	0	2		
organic acid transport	0.03561423195812067	2	1.448376417034608	-3.378244421760761	0	2		
organic anion transport	0.03561423195812067	2	1.448376417034608	-3.378244421760761	0	2		
polyamine metabolic process	0.03561423195812067	1	1.448376417034608	2.7302732304770485	1	0		
positive regulation of wound healing	0.03561423195812067	1	1.448376417034608	-2.7538444785248077	0	1		
regulation of blood coagulation	0.03561423195812067	1	1.448376417034608	-2.7538444785248077	0	1		
regulation of hemostasis	0.03561423195812067	1	1.448376417034608	-2.7538444785248077	0	1		
regulation of neural retina development	0.03561423195812067	1	1.448376417034608	-3.6206557393114958	0	1		
response to cytokine	0.03561423195812067	2	1.448376417034608	-2.9062545589949393	0	2		
taxis	0.03561423195812067	2	1.448376417034608	-2.9062545589949393	0	2		
tyrosine metabolic process	0.03561423195812067	1	1.448376417034608	-4.870962604584245	0	1		
