gene	log2FoldChange	padj	baseMean	pvalue	stat	metadata	value	comparison_name	base_treatment	comparison_treatment
adgrl2b.1	0.7487444674067895	0.03895515807335321	81.42836200231697	5.114462766742216e-5	4.050333783875698	Treatment	A+ T- P+	A- T- P+ vs A+ T- P+	A- T- P+	A+ T- P+
chia.4	3.9238618157196776	0.04912776708666337	215.92107462342435	1.1565795614028322e-4	3.8551515559919594	Treatment	A+ T- P+	A- T- P+ vs A+ T- P+	A- T- P+	A+ T- P+
cks2	1.5334146571667673	0.03989222955107457	44.22734526863168	5.431473024216329e-5	4.036239676675025	Treatment	A+ T- P+	A- T- P+ vs A+ T- P+	A- T- P+	A+ T- P+
crp7	-3.691493141318008	0.00950246255359508	91.27612471964984	3.6965572783253425e-6	-4.627752319381103	Treatment	A+ T- P+	A- T- P+ vs A+ T- P+	A- T- P+	A+ T- P+
cspp1a	2.831741243733716	0.02256167727990108	23.216026745601575	1.3165092504683343e-5	4.357342907875607	Treatment	A+ T- P+	A- T- P+ vs A+ T- P+	A- T- P+	A+ T- P+
cyp2n13	-1.3449992309222174	0.04912776708666337	1355.0033091750745	1.1580538176381264e-4	-3.854839913747711	Treatment	A+ T- P+	A- T- P+ vs A+ T- P+	A- T- P+	A+ T- P+
dnajc4	-0.5271963733378047	0.04912776708666337	342.5200576339578	9.639129651120584e-5	-3.8995006048999103	Treatment	A+ T- P+	A- T- P+ vs A+ T- P+	A- T- P+	A+ T- P+
eomesa	3.5080294172961017	0.04371204805220022	27.81817391805451	6.810871749060331e-5	3.982797738009304	Treatment	A+ T- P+	A- T- P+ vs A+ T- P+	A- T- P+	A+ T- P+
fbxw10	4.848349400226586	0.04912776708666337	8.153902925346173	1.022664528568605e-4	3.8851506508945586	Treatment	A+ T- P+	A- T- P+ vs A+ T- P+	A- T- P+	A+ T- P+
foxj1b	-3.2523911626204476	0.02486983375601313	5.772772635507868	2.176790700745132e-5	-4.245939804803458	Treatment	A+ T- P+	A- T- P+ vs A+ T- P+	A- T- P+	A+ T- P+
ftr73	-1.5698477831791526	0.03895515807335321	151.42286501538055	5.09103967015192e-5	-4.051407756724456	Treatment	A+ T- P+	A- T- P+ vs A+ T- P+	A- T- P+	A+ T- P+
gatm	-2.025223782177129	0.02486983375601313	1251.4975575957085	2.1021486663106004e-5	-4.2537554594251725	Treatment	A+ T- P+	A- T- P+ vs A+ T- P+	A- T- P+	A+ T- P+
gsta.2	-2.233959174080111	0.04517916396384001	1618.9521123366503	7.469446023683736e-5	-3.960814765735518	Treatment	A+ T- P+	A- T- P+ vs A+ T- P+	A- T- P+	A+ T- P+
hydin	-1.907660659927538	0.02486983375601313	60.01982835313126	1.8102458884626675e-5	-4.287095368874632	Treatment	A+ T- P+	A- T- P+ vs A+ T- P+	A- T- P+	A+ T- P+
ifi27.6	-2.2175735104511047	0.04255537988846884	610.6499962205838	6.414863975407411e-5	-3.9970061326969577	Treatment	A+ T- P+	A- T- P+ vs A+ T- P+	A- T- P+	A+ T- P+
itga2b	2.5317368703704566	0.01329388704466509	30.43550947517473	5.817893673814045e-6	4.532901544618133	Treatment	A+ T- P+	A- T- P+ vs A+ T- P+	A- T- P+	A+ T- P+
LOC100002544	-1.5402753057939111	0.03835254688697016	257.4434991455514	4.475862510514388e-5	-4.0814343279209595	Treatment	A+ T- P+	A- T- P+ vs A+ T- P+	A- T- P+	A+ T- P+
LOC100004033	2.0652605071833507	0.04912776708666337	88.6788513931236	1.1199261416934375e-4	3.863022661358626	Treatment	A+ T- P+	A- T- P+ vs A+ T- P+	A- T- P+	A+ T- P+
LOC101886839	3.711272297156887	0.04912776708666337	28.46462756932075	1.170561919400197e-4	3.852210785367341	Treatment	A+ T- P+	A- T- P+ vs A+ T- P+	A- T- P+	A+ T- P+
LOC103910192	-1.6010516802715382	0.03895515807335321	326.3654963642546	4.878664096803805e-5	-4.061364931887352	Treatment	A+ T- P+	A- T- P+ vs A+ T- P+	A- T- P+	A+ T- P+
